Placed?,Sown?,Plant Type,Name \ Week,1/25,2/1,2/8,2/15,2/22,3/1,3/8,3/15,3/22,3/29,4/5,4/12,4/19,4/26,5/3,5/10,5/17,5/24,5/31,6/7,6/14,6/21,6/28,7/5,7/12,7/19,7/26,8/2,8/9,8/16,8/23,8/30,9/6,9/13,9/20,9/27,10/4,10/11,10/18,10/25,11/2,11/9,11/16,11/23,11/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Right Raised Bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,Garlic,Musical,11/6,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,7/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,Onion,Sets,11/6,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,7/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,"Pepper, Sweet",Orange Sun,,,,,,3/2,3/11,,,,,,,,5/2,--------,--------,--------,--------,--------,--------,--------,--------,H,--------,--------,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,"Tomato, Roma",Supremo,,,,,,,,,,4/1,Sp,,,,,5/13,--------,--------,--------,--------,--------,--------,--------,H,--------,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,"Herb, Basil",Lemon,,,,,,,,,,4/1,Sp,,,,,5/13,--------,--------,--------,6/7,--------,--------,--------,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,Watermelon,Early Girl,,,,,,,,,,,,,,,,,,,5/28,6/7,--------,--------,--------,--------,--------,--------,--------,H,--------,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,FALSE,Cucumber,Homemade Pickles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,FALSE,Watermelon,Early Girl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,FALSE,Cucumber,Salt and Pepper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,"Bean, Pea, smt",TODO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,FALSE,"Choi, Bok Choi",Win-Win Choi F1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,FALSE,"Lettuce, Mini-Romaine",Truchas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,FALSE,"Choi, Pac Choi",Little Shanghai F1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,FALSE,"Lettuce, Romaine",Little Gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,FALSE,"Bean, Bush",Dragon's Tongue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Left Raised Bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,"Pepper, Sweet",Golden Cal Wonder,,,,,,3/2,,3/13,,,,,,,5/2,--------,--------,--------,--------,--------,--------,--------,H,--------,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,"Pepper, Bell",Olympus F1,,,,,,3/2,,3/14,,,,,,,5/2,--------,--------,--------,--------,--------,--------,--------,H,--------,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,"Pepper, Bell",Flavorburst F1,,,,,,3/2,,,3/24,,,,,,5/2,--------,--------,--------,--------,--------,--------,--------,--------,H,--------,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,"Pepper, Hot",Sweet Bonnet,,,,,,3/2,3/11,,,,,,,,5/2,--------,--------,--------,--------,--------,--------,--------,--------,--------,H,--------,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,"Pepper, Hot",Aji Mango,,,,,,3/2,,3/12,,,,,,,5/2,--------,--------,--------,--------,--------,--------,--------,--------,--------,H,--------,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,"Pepper, Sweet",Giant Aconcagua,,,,,,3/2,3/11,,,,,,,,5/2,--------,--------,--------,--------,--------,--------,--------,--------,--------,H,--------,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,"Pepper, Hot",Sugar Rush Peach,,,,,,3/2,3/10,,,,,,,,5/2,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,H,--------,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,"Pepper, Sweet",Candy Cane Chocolate Cherry,,,,,,3/2,,3/13,,,,,,,5/2,--------,--------,--------,--------,--------,--------,--------,--------,H,--------,--------,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,Leek,King Richard,,,,,,3/2,3/8,,,,,,,,5/2,--------,--------,--------,--------,--------,--------,--------,--------,--------,H,--------,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,Leek,Jaune du Poitou,,,,,,3/2,3/8,,,,,,,,5/2,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,H,--------,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,"Watermelon, Hybrid Triploid Watermelon",Onza F1,,,,,,,,,,,,,,,5/2,,5/18,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,H,--------,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,"Watermelon, Hybrid Diploid Watermelon",New Orchid F1,,,,,,,,,,,,,,,5/2,5/13,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,H,--------,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,"Squash, Summer",Zephyr F1,,,,,,,,,,,,,,,5/2,5/9,--------,--------,--------,--------,--------,--------,6/25,--------,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,Watermelon,Lemon Drop,,,,,,,,,,,,,,,5/2,,5/18,5/24,5/28,6/7,--------,--------,--------,--------,--------,--------,--------,--------,--------,H,--------,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,Watermelon,Ocelot F1,,,,,,,,,,,,,,,,,,,5/28,6/7,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,H,--------,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,Melon,Rich Sweetness,,,,,,,,,,,,,,,5/2,5/11,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,H,--------,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,"Squash, Spaghetti",Angel Hair F1,,,,,,,,,,,,,,,5/2,5/11,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,H,--------,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,FALSE,"Choi, Bok Choi",Baby Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,"Choi, Bok Choi",Win-Win Choi F1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,"Choi, Pac Choi",Little Shanghai F1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,FALSE,"Lettuce, Butterhead",Buttercrunch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,"Lettuce, Mini-Romaine",Truchas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,"Lettuce, Romaine",Little Gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,"Watermelon, Hybrid Triploid Watermelon",Ocelot F1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Grow Bags 15G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,Potato,Caribé,,,,,,,,,3/22,,,4/12,,,5/4,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,H,--------,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,Potato,Yukon Gold,,,,,,,,,3/22,,,4/12,,,5/4,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,H,--------,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
