Buy?,Seed Company,Plant,Name,Location,Type,Priority,Days to maturity,Min DTM,Max DTM,Maturity from (Sowing v Transplant),Frost tolerant?,Height,Where to sow,When to sow weeks w.r.t last frost,When to transplant w.r.t last frost,Notes
TRUE,Wood Praire Farm,Potato,Caribé,bag,early-season,3,105-119,105,119,S,N,N/A,outside,1-2 before,,Chit 4-6 weeks before sowing
TRUE,Wood Praire Farm,Potato,Yukon Gold,bag,early-season,3,105-119,105,119,S,N,N/A,outside,1-2 before,,Chit 4-6 weeks before sowing
TRUE,Wood Praire Farm,Potato,Adirondack Blue,bag,mid-season,3,119-133,119,133,S,N,N/A,outside,1-2 before,,Chit 4-6 weeks before sowing
TRUE,Wood Praire Farm,Potato,Adirondack Red,bag,mid-season,3,119-133,119,133,S,N,N/A,outside,1-2 before,,Chit 4-6 weeks before sowing
FALSE,Wood Praire Farm,Potato,Rose Gold,bag,mid-season,3,119-133,119,133,S,N,N/A,outside,1-2 before,,Chit 4-6 weeks before sowing
TRUE,Wood Praire Farm,Potato,Huckleberry Gold,bag,mid-season,3,119-133,119,133,S,N,N/A,outside,1-2 before,,Chit 4-6 weeks before sowing
FALSE,Wood Praire Farm,Potato,Aroostook Red,bag,mid-season,3,119-133,119,133,S,N,N/A,outside,1-2 before,,Chit 4-6 weeks before sowing
TRUE,Wood Praire Farm,Potato,Keuka Gold,bag,mid-late season,3,112-140,112,140,S,N,N/A,outside,1-2 before,,Chit 4-6 weeks before sowing
TRUE,Wood Praire Farm,Potato,Sarpo Mira,bag,late-season,3,126-140,126,140,S,N,N/A,outside,1-2 before,,Chit 4-6 weeks before sowing
TRUE,Wood Praire Farm,Potato,All Blue,bag,late-season,3,126-140,126,140,S,N,N/A,outside,1-2 before,,Chit 4-6 weeks before sowing
TRUE,Johnny's Seeds,"Bean, Bush",Dragon's Tongue,"bed, bag",bush / flat pod,3,57,57,,S,N,,outside,1-2 after,,Soak seeds before sowing
TRUE,Johnny's Seeds,Brussels Sprout,Silvia F1,bag,,3,103,103,,T,Y,,inside,May,,Sow 4 months before fall frost
TRUE,Johnny's Seeds,Pac Choi,Little Shanghai F1,bed,true mini,2,37,37,,T,Y,,inside,Early Spring,,Slow bolt
FALSE,Johnny's Seeds,"Lettuce, Bibb",Gatsbi,bed,mini bibb,2,52,52,,T,Y,,inside,,,
FALSE,Johnny's Seeds,"Onion, Bunching",Yago F1,"bed, fence",bunching,2,55,55,,T,Y,,inside,,,
TRUE,Johnny's Seeds,"Onion, Bunching",Deep Purple,"bed, fence",bunching,3,60,60,,T,Y,,inside,,,
TRUE,Johnny's Seeds,"Pepper, Bell",Flavorburst F1,"bed, bag",yellow,2,67-87,67,87,T,N,,inside,,,
TRUE,Johnny's Seeds,"Pepper, Bell",Olympus F1,"bed, bag",red,2,65-85,65,85,T,N,,inside,,,
FALSE,Johnny's Seeds,"Pepper, Fresno",Flaming Flare F1,"bed, bag",,2,67-77,67,77,T,N,,inside,,,
TRUE,Johnny's Seeds,"Pumpkin, Jack-o-Lantern",Racer F1,compost,12-16lb,3,85,85,,S,Y,,outside,,,
FALSE,Johnny's Seeds,"Pumpkin, Jack-o-Lantern",Duchess F1,compost,19-21lb,2,100,100,,S,Y,,outside,,,
TRUE,Johnny's Seeds,"Pumpkin, Specialty",Blaze,compost,2.5-3.5lb,3,95,95,,S,Y,,outside,,,
FALSE,Johnny's Seeds,"Squash, Zucchini",E. Maveric F1,bag,green,1,42,42,,S,N,,outside,,,
FALSE,Johnny's Seeds,"Squash, Summer",Butterfingers F1,bag,yellow,1,52,52,,S,N,,outside,,,
